"Id Dosen","Id Mata Kuliah","Sentimen Positif (%)","Sentimen Netral (%)","Sentimen Negatif (%)"
"178","90002029","0.0","0.0","100.0"
"22029","90002002","0.0","0.0","100.0"
"178","90002022","20.0","0.0","80.0"
"249","90002221","16.67","0.0","83.33"
"294","90001802","28.57","0.0","71.43"
"256","90001818","25.0","0.0","75.0"
"22023","90001891","15.38","0.0","84.62"
"150","90002128","17.65","0.0","82.35"
"219","90002059","25.0","0.0","75.0"
"332","90001805","34.38","0.0","65.63"
"327","90001775","28.95","0.0","71.05"
"248","90002097","30.95","0.0","69.05"
"341","90002200","28.89","0.0","71.11"
"314","90001884","31.25","0.0","68.75"
"237","90002246","30.19","0.0","69.81"
"333","90001844","28.81","0.0","71.19"
"334","90001793","27.27","0.0","72.73"
"256","90001867","28.57","0.0","71.43"
"237","90002247","33.77","0.0","66.23"
"306","90001998","33.33","0.0","66.67"
"353","90002242","33.33","0.0","66.67"
"341","90002198","34.88","0.0","65.12"
"185","90001939","33.71","1.12","65.17"
"182","90002100","34.44","1.11","64.44"
"142","90002087","34.07","1.1","64.84"
"126","90001833","33.7","1.09","65.22"
"238","90002025","32.0","1.0","67.0"
