"Id Dosen","Id Mata Kuliah","Sentimen Positif (%)","Sentimen Netral (%)","Sentimen Negatif (%)"
"142","90000490","42.86","0.0","57.14"
"243","90000305","40.0","0.0","60.0"
"136","90000314","36.84","0.0","63.16"
"130","90000338","35.0","0.0","65.0"
"256","90000350","30.43","0.0","69.57"
"233","90000507","41.94","0.0","58.06"
"286","90000485","41.86","0.0","58.14"
"237","90000466","42.0","0.0","58.0"
"132","90000290","41.18","0.0","58.82"
"132","90000289","39.68","1.59","58.73"
"126","90000292","37.31","1.49","61.19"
"130","90000340","36.23","1.45","62.32"
"191","90000432","34.67","1.33","64.0"
"235","90000315","32.58","1.12","66.29"
"182","90000497","30.93","1.03","68.04"
"238","90000473","32.0","1.0","67.0"
