"Id Dosen","Id Mata Kuliah","Sentimen Positif (%)","Sentimen Netral (%)","Sentimen Negatif (%)"
"297","90000669","8.33","0.0","91.67"
"175","90000776","15.38","0.0","84.62"
"248","90000819","23.53","0.0","76.47"
"188","90000736","30.43","4.35","65.22"
"251","90000644","28.0","4.0","68.0"
"123","90000580","25.0","2.78","72.22"
"123","90000581","27.03","2.7","70.27"
"294","90000576","29.27","2.44","68.29"
"183","90000678","33.33","2.08","64.58"
"238","90000751","36.54","1.92","61.54"
"238","90000763","31.75","1.59","66.67"
"253","90000590","31.25","1.56","67.19"
"132","90000612","31.58","1.32","67.11"
"238","90000764","31.25","1.25","67.5"
"211","90000616","30.49","1.22","68.29"
"178","90000761","28.57","1.1","70.33"
"299","90000821","29.03","1.08","69.89"
"175","90000755","30.61","1.02","68.37"
"255","90000618","32.0","1.0","67.0"
