"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Bu kembalilah kepada kita kita lebih memam=hami materi sama ibu","54444","178","90002008","20162","3","4","4","4","4","4","4","4","4","4","311"
"Jangan pelit nilai bu, terimakasih","54453","260","90001913","20162","4","3","1","2","3","2","4","1","2","2","199"
"Jangan dibuat tim dosen materi pecah","54459","180","90002176","20162","2","2","2","2","2","2","2","2","2","2","311"
"tetap semangat pak","54473","309","90002218","20162","4","4","4","4","4","4","4","4","4","4","198"
"jangan pelit nilai pak","54476","309","90002218","20162","3","3","3","3","3","3","3","3","3","3","198"
"Penjelasan kurang, jadi mahasiswa kurang dapat memahami","54482","180","90002176","20162","3","3","3","3","3","3","3","3","3","4","311"
"Memberikan contoh riil dalam pekerjaan","54490","180","90002176","20162","3","3","3","3","3","3","3","3","3","3","311"
"Suasana belajar yang baru agar tidak membosankan","54519","180","90002176","20162","3","3","3","3","3","3","3","2","2","3","311"
"Love you Bu","54522","180","90002176","20162","4","4","4","4","4","4","4","4","4","4","311"
"Nice","54527","188","90001995","20162","4","4","4","4","4","4","4","4","3","3","311"
"Bu Annie the best","54529","188","90001995","20162","4","4","4","4","4","4","4","4","4","4","311"
"Soal mengajar, menjelaskan dan memberikan contoh sangat inspiratif","54541","188","90001995","20162","4","4","4","4","4","4","4","4","4","4","311"
"Nice","54544","188","90001995","20162","4","4","4","4","4","4","4","4","4","4","311"
"Love you IBU","54549","188","90001995","20162","4","4","4","4","4","4","4","3","4","4","311"
"Jangan dibuat tim dosen mahasiswa bingung","54553","188","90001995","20162","3","3","3","3","3","3","3","3","3","3","311"
"Good","54580","22031","90002095","20162","3","3","4","4","3","2","3","3","3","4","199"
"Dosen ideal","54584","186","90001922","20162","4","4","4","4","4","4","4","4","4","4","199"
"Good luck","54586","186","90001922","20162","4","4","4","4","4","4","4","4","4","4","199"
"Good dosen","54594","186","90001922","20162","4","4","4","4","4","4","4","4","4","4","199"
"Jangan terlalu banyak cerita","54595","186","90001922","20162","3","3","3","3","3","3","3","3","3","3","199"
"Menjadi lebih baik, dengan form quesioner yang lebih menarik","54614","211","90001843","20162","4","3","4","4","3","2","3","4","4","4","199"
"mantap","54622","211","90001843","20162","3","3","3","3","3","3","3","3","3","3","199"
"Pertahankan bu","54625","211","90001843","20162","4","3","4","4","3","3","4","4","4","4","199"
"Semoga UAS soalnya mudah Amin","54630","211","90001843","20162","3","3","4","4","3","2","3","4","4","3","199"
"Prefect","54632","211","90001843","20162","4","4","4","4","4","4","4","4","4","4","199"
"Nice","54637","211","90001843","20162","4","4","4","4","4","4","4","4","4","4","199"
"Kedepan lebih baik lagi","54645","22025","90002064","20162","3","3","3","3","3","3","3","3","3","3","199"
"Cobalah untuk mendengarkan kita terlebih dahulu","54647","22025","90002064","20162","4","4","4","4","4","4","4","4","4","4","199"
"Lebih baik dalam mengajar","54653","22025","90002064","20162","4","4","4","3","4","3","3","3","3","3","199"
"Better","54657","22025","90002064","20162","4","4","3","4","4","4","4","4","4","4","199"
"Bagus","54659","22025","90002064","20162","4","4","4","4","4","4","4","4","4","4","199"
"Lebih jelas lagi saat menjelaskan","54660","22025","90002064","20162","4","3","3","3","3","3","3","3","3","3","199"
"Tingkatkan pak, bagus dalam mengajar","54664","22029","90002065","20162","3","3","4","4","4","3","4","4","3","3","199"
"Tetap semangat pak","54665","22029","90002065","20162","4","4","4","4","4","1","4","4","4","4","199"
"Tingkatkan minat belajar mahasiswa","54673","22029","90002065","20162","3","3","3","3","4","3","3","3","3","3","199"
"Tetap semangat dan istiqomah, keep smile","54685","22018","90002169","20162","4","4","4","4","4","4","4","4","4","4","199"
"The best","54686","22018","90002169","20162","4","4","4","4","4","4","4","4","4","4","199"
"Luar biasa, The best","54688","22018","90002169","20162","4","4","4","4","4","4","4","4","4","4","199"
"Makasih bu","54689","22018","90002169","20162","4","4","4","4","4","4","4","4","4","4","199"
"Terimakasih bu","54690","22018","90002169","20162","4","4","4","4","4","4","4","4","4","4","199"
"Ibunya bagus","54699","22023","90002168","20162","4","4","4","4","4","4","4","4","4","4","199"
