kata_baku,vocabulary
diadakan,diadakn
diajarkan,diajarakan
diajarkan,diajarin
diam,dian
dibagikan,dibagika
ditingkatkan,dibagusin
dibahas,dibahasdan
diperbanyak,dibanyakin
diberikan,dibei
diberikan,diberika
diberitahu,diberitahukan
diperbesar,dibesarin
dibiarkan,dibiarin
beritahu,dibilangin
dibuatkan,dibuata
dipercepat,dicepetin
diacuhkan,dicuekin
di dalam,didlm
diberi,dieri
dipahami,difahami
diganti,diganto
digunakan,digynakan
hitungan,dihitung2an
diharapkan,dihrapakan
dijelaskan,dijelasin
dijelaskan,dijelasinnya
dijelaskan,dijilaskan
beri kabar,dikabarin
dikeluarkan,dikeluarin
dikembalikan,dikembaliakan
diperkeras,dikencangin
diperkeras,dikencanging
diperkeras,dikencin
diperkeras,dikerasin
dikerjakan,dikerjan
dikeluarkan,dikerluarkan
ditertawakan,diketawain
dikirim,dikirin
sedikit,dikit
sedikit,dikit2
beri komentar,dikomentarin
dikuatkan,dikuatin
dikumpulkan,dikumpulin
dilakukan,dilakukuman
dimaksimalkan,dimaksimalakan
marah,dimarahin
di masyarakat,dimasyarakatin
mata kuliah,dimatakuliah
dimengerti,dimegerti
dimengerti,dimengeer
minimalisasi,diminimalizir
dimengerti,dimnegerti
dimengerti,dingertiin
diperiksa,dioeriksa
dipahami,dipahamiwalaupun
dipraktekkan,diparktekan
dipraktekkan,diparktekkan
diancam,dipelototin
diperbanyak,diperbanyaksemoga
diperhatikan,diperhatiin
diperjelas,diperjelasin
diperjelas,diperjelasmengajar
diperjelas,dipoerjelas
power point,dippt
dicetak,diprin
diringkas,dirinkas
di rumah,dirukah
disampaikan,disampaiakan
disampaikan,disampikan
disatukan,disatuin
di sela,disela2
di sela,diselingin
dibagikan,dishare
diselaraskan,disingkronkan
disiplin,disiplim
disisipkan,disisipin
diskusi,diskus
tayangan,dislide
disiplin,displin
ditambahkan,ditambahin
dipertegas,ditegasin
ditentukan,ditentunkan
ditertibkan,ditetibkan
ditingkatkan,ditingkatakan
diujikan,diujianin
diujikan,diujiankan
hebat,djob
dalam,dlaam
dalam,dlam
lain-lain,dll
dalam,dlm
dan,dn
dengan,dng
dengan,dngan
di,do
diajarkan,doajarkan
hanya,doang
main-main,dolan
selesai,done
dongeng,dongen
dongeng,dongengin
unduh,donwload
dosen,doosen
dosen,dose
dosen,doseb
dosen,dosen
dosen,dosene
dosen,dosenini
dosen,dosenya
dua,double
turun,down
dipertahankan,dpertahankan
dapat,dpp
dapat,dpt
dari,dr
daripada,drpd
datang,dtang
di,du
dibahas,dubahas
di kelas,dukelas
dulu tidak,dulutidak
dua,duwa
kebanyakan,ebanyakan
lebih,ebih
efisien,efesian
efisien,efesien
efisien,efisian
efisien,efisiensi
begitu,egitu
ekspresi,ekspirasi
ekstrim,ekstream
belajar,elajar
mengelak,elak
e-learning,elearning
e-learning,elearningnya
e-learning,elerning
e-learning,elerningnya
belum,elum
mengajar,emngajar
enak,enaaa
enak,enak
enak,enakin
cukup,enaugh
menerangkan,enerangkan
penuh semangat,enerjik
tidak,enggak
mesin,engine
rekayasawan,engineer
bahasa Inggris,english
menjelaskan,enjelaskan
menikmati,enjoy
cukup,enough
e-learning,erlening
kesalahan,eror
etika,etiika
segala,everithing
segala,everything
bekas,ex
luar biasa,excallent
luar biasa,excelent
luar biasa,excellent
luar biasa,exelent
luar biasa,exellent
ekspresi,expresikan
pengalaman,expriance
wajah,face
fakultas,faculty
favorit,faforit
paham,faham
adil,fair
fakta,fakta2
biasa,familiar
keluarga,family
dipermudah,mudahin
paham,mudeng
benar,TRUE
terus,trus
terus,truz
tersebut,tsb
tetap,ttetap
tentang,ttg
tingkatkan,ttingkatkan
tentang,ttng
tetapi,ttp
tugas kelompok,tugaselompok
tuhan,tuhannn
tujuan di,tujuandi
